element,name,GW,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,starts,transfers_in,transfers_out,transfers_balance,selected,value,round,influence,creativity,threat,clearances_blocks_interceptions,recoveries,tackles,position,team,opponent_team,was_home,kickoff_time,fixture,team_h_score,team_a_score
359,Gomez,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,68,379,-311.0,0.0,50.0,1,0.0,0.0,0.0,0,0,0,DEF,Liverpool,Newcastle,False,2026-08-23T15:30:00Z,9,2.0,2.0
360,Bradley,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,71,204,-133.0,0.0,50.0,1,0.0,0.0,0.0,0,0,0,DEF,Liverpool,Newcastle,False,2026-08-23T15:30:00Z,9,2.0,2.0
361,Lucky,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,549,997,-448.0,0.1,40.0,1,0.0,0.0,0.0,0,0,0,DEF,Liverpool,Newcastle,False,2026-08-23T15:30:00Z,9,2.0,2.0
362,Jacquet,1,1,69,0,0,0,2,0,0,0,0,0,0,0,9,2.4,0.0,0.02,0.02,1.04,1,19206,15420,3786.0,2.4,50.0,1,12.4,11.9,0.0,2,3,1,DEF,Liverpool,Newcastle,False,2026-08-23T15:30:00Z,9,2.0,2.0
363,Leoni,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,164,471,-307.0,0.0,40.0,1,0.0,0.0,0.0,0,0,0,DEF,Liverpool,Newcastle,False,2026-08-23T15:30:00Z,9,2.0,2.0
364,Tsimikas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,307,853,-546.0,0.1,50.0,1,0.0,0.0,0.0,0,0,0,DEF,Liverpool,Newcastle,False,2026-08-23T15:30:00Z,9,2.0,2.0
365,Ramsay,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,638,2907,-2269.0,0.2,40.0,1,0.0,0.0,0.0,0,0,0,DEF,Liverpool,Newcastle,False,2026-08-23T15:30:00Z,9,2.0,2.0
366,Wirtz,1,2,62,0,0,0,2,0,0,0,0,0,0,0,16,5.7,0.26,0.04,0.3,0.51,1,21705,99413,-77708.0,11.6,75.0,1,9.8,17.9,29.0,0,4,1,MID,Liverpool,Newcastle,False,2026-08-23T15:30:00Z,9,2.0,2.0
367,Gakpo,1,12,90,1,0,0,2,0,0,0,0,0,0,3,33,11.5,0.3,0.15,0.45,1.58,1,166348,22155,144193.0,6.0,70.0,1,44.0,34.0,37.0,4,5,3,MID,Liverpool,Newcastle,False,2026-08-23T15:30:00Z,9,2.0,2.0
368,Szoboszlai,1,8,90,1,0,0,2,0,0,0,0,0,0,1,29,11.9,0.85,0.27,1.12,1.58,1,200844,55880,144964.0,43.1,70.0,1,50.4,47.1,21.0,2,4,1,MID,Liverpool,Newcastle,False,2026-08-23T15:30:00Z,9,2.0,2.0
32,Cash,1,-1,90,0,0,0,4,0,0,0,1,0,0,0,-8,1.3,0.0,0.0,0.0,3.77,1,25780,89194,-63414.0,7.8,45.0,1,12.0,1.1,0.0,5,0,2,DEF,Aston Villa,Brighton,False,2026-08-23T13:00:00Z,3,4.0,0.0
369,Ngumoha,1,2,62,0,0,0,2,0,0,0,0,0,0,0,9,1.3,0.04,0.02,0.06,0.51,1,4735,12473,-7738.0,1.1,60.0,1,2.4,6.0,5.0,0,2,1,MID,Liverpool,Newcastle,False,2026-08-23T15:30:00Z,9,2.0,2.0
370,Chiesa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,581,2781,-2200.0,0.1,55.0,1,0.0,0.0,0.0,0,0,0,MID,Liverpool,Newcastle,False,2026-08-23T15:30:00Z,9,2.0,2.0
371,Gravenberch,1,5,77,0,1,0,2,0,0,0,0,0,0,0,26,4.4,0.06,0.05,0.11,1.1,1,12339,12927,-588.0,2.0,60.0,1,24.4,16.0,4.0,2,8,1,MID,Liverpool,Newcastle,False,2026-08-23T15:30:00Z,9,2.0,2.0
372,Mac Allister,1,1,27,0,0,0,0,0,0,0,0,0,0,0,9,0.7,0.0,0.01,0.01,1.07,0,5636,18442,-12806.0,1.6,55.0,1,5.8,1.4,0.0,0,1,2,MID,Liverpool,Newcastle,False,2026-08-23T15:30:00Z,9,2.0,2.0
373,C.Jones,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,29,1012,-983.0,0.0,55.0,1,0.0,0.0,0.0,0,0,0,MID,Liverpool,Newcastle,False,2026-08-23T15:30:00Z,9,2.0,2.0
374,Endo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,445,878,-433.0,0.1,50.0,1,0.0,0.0,0.0,0,0,0,MID,Liverpool,Newcastle,False,2026-08-23T15:30:00Z,9,2.0,2.0
375,Nyoni,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,126,590,-464.0,0.0,50.0,1,0.0,0.0,0.0,0,0,0,MID,Liverpool,Newcastle,False,2026-08-23T15:30:00Z,9,2.0,2.0
377,Munoz,1,4,27,0,1,0,0,0,0,0,0,0,0,0,15,2.7,0.1,0.04,0.14,1.07,0,5475,4930,545.0,0.6,65.0,1,4.0,8.9,14.0,0,0,0,MID,Liverpool,Newcastle,False,2026-08-23T15:30:00Z,9,2.0,2.0
378,McConnell,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,836,2543,-1707.0,0.3,45.0,1,0.0,0.0,0.0,0,0,0,MID,Liverpool,Newcastle,False,2026-08-23T15:30:00Z,9,2.0,2.0
379,Isak,1,2,90,0,0,0,2,0,0,0,0,0,0,0,6,9.2,1.09,0.01,1.1,1.58,1,58179,83278,-25099.0,16.5,90.0,1,11.4,14.6,66.0,1,0,0,FWD,Liverpool,Newcastle,False,2026-08-23T15:30:00Z,9,2.0,2.0
380,Ekitiké,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,667,3494,-2827.0,0.1,75.0,1,0.0,0.0,0.0,0,0,0,FWD,Liverpool,Newcastle,False,2026-08-23T15:30:00Z,9,2.0,2.0
381,Koumas,1,1,12,0,0,0,0,0,0,0,0,0,0,0,4,0.9,0.03,0.0,0.03,0.48,0,132,176,-44.0,0.0,50.0,1,1.2,0.5,7.0,0,1,0,MID,Liverpool,Newcastle,False,2026-08-23T15:30:00Z,9,2.0,2.0
382,Danns,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,279,493,-214.0,0.0,45.0,1,0.0,0.0,0.0,0,0,0,FWD,Liverpool,Newcastle,False,2026-08-23T15:30:00Z,9,2.0,2.0
383,Elliott,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,334,1069,-735.0,0.1,55.0,1,0.0,0.0,0.0,0,0,0,MID,Liverpool,Newcastle,False,2026-08-23T15:30:00Z,9,2.0,2.0
